wordform,lemma
ааммыт,аан
аана,аан
ааннаах,аан
ааннаахтарга,аан
ааннар,аан
ааннара,аан
ааннарбыт,аан
ааннарбытын,аан
ааннарга,аан
ааннардаах,аан
ааннардаахxа,аан
ааннартан,аан
ааннары,аан
ааннарым,аан
ааннарын,аан
аантан,аан
ааны,аан
ааным,аан
аанын,аан
ааптара,ааптар
ааптарбыт,ааптар
ааптарга,ааптар
ааптардаах,ааптар
ааптардаахтарга,ааптар
ааптардар,ааптар
ааптардара,ааптар
ааптардарбыт,ааптар
ааптардарбытын,ааптар
ааптардарга,ааптар
ааптардардаах,ааптар
ааптардардаахxа,ааптар
ааптардартан,ааптар
ааптардары,ааптар
ааптардарым,ааптар
ааптардарын,ааптар
ааптартан,ааптар
ааптары,ааптар
ааптарым,ааптар
ааптарын,ааптар
ааҥҥа,аан
айаммыт,айан
айана,айан
айаннаах,айан
айаннаахтарга,айан
айаннар,айан
айаннара,айан
айаннарбыт,айан
айаннарбытын,айан
айаннарга,айан
айаннардаах,айан
айаннардаахxа,айан
айаннартан,айан
айаннары,айан
айаннарым,айан
айаннарын,айан
айантан,айан
айаны,айан
айаным,айан
айанын,айан
айаҥҥа,айан
аймахxа,аймах
аймахпыт,аймах
аймахтаах,аймах
аймахтаахтарга,аймах
аймахтан,аймах
аймахтар,аймах
аймахтара,аймах
аймахтарбыт,аймах
аймахтарбытын,аймах
аймахтарга,аймах
аймахтардаах,аймах
аймахтардаахxа,аймах
аймахтартан,аймах
аймахтары,аймах
аймахтарым,аймах
аймахтарын,аймах
аймаҕа,аймах
аймаҕы,аймах
аймаҕым,аймах
аймаҕын,аймах
айылҕабыт,айылҕа
айылҕалаах,айылҕа
айылҕалаахтарга,айылҕа
айылҕалар,айылҕа
айылҕалара,айылҕа
айылҕаларбыт,айылҕа
айылҕаларбытын,айылҕа
айылҕаларга,айылҕа
айылҕалардаах,айылҕа
айылҕалардаахxа,айылҕа
айылҕалартан,айылҕа
айылҕалары,айылҕа
айылҕаларым,айылҕа
айылҕаларын,айылҕа
айылҕам,айылҕа
айылҕаны,айылҕа
айылҕата,айылҕа
айылҕаттан,айылҕа
айылҕатын,айылҕа
айылҕаҕа,айылҕа
арыыбыт,арыы
арыыга,арыы
арыылаах,арыы
арыылаахтарга,арыы
арыылар,арыы
арыылара,арыы
арыыларбыт,арыы
арыыларбытын,арыы
арыыларга,арыы
арыылардаах,арыы
арыылардаахxа,арыы
арыылартан,арыы
арыылары,арыы
арыыларым,арыы
арыыларын,арыы
арыым,арыы
арыыны,арыы
арыыта,арыы
арыыттан,арыы
арыытын,арыы
атыммыт,атын
атына,атын
атыннаах,атын
атыннаахтарга,атын
атынтан,атын
атыны,атын
атыным,атын
атынын,атын
атыттар,атын
атыттара,атын
атыттарбыт,атын
атыттарбытын,атын
атыттарга,атын
атыттардаах,атын
атыттардаахxа,атын
атыттартан,атын
атыттары,атын
атыттарым,атын
атыттарын,атын
атыҥҥа,атын
ахсааммыт,ахсаан
ахсаана,ахсаан
ахсааннаах,ахсаан
ахсааннаахтарга,ахсаан
ахсааннар,ахсаан
ахсааннара,ахсаан
ахсааннарбыт,ахсаан
ахсааннарбытын,ахсаан
ахсааннарга,ахсаан
ахсааннардаах,ахсаан
ахсааннардаахxа,ахсаан
ахсааннартан,ахсаан
ахсааннары,ахсаан
ахсааннарым,ахсаан
ахсааннарын,ахсаан
ахсаантан,ахсаан
ахсааны,ахсаан
ахсааным,ахсаан
ахсаанын,ахсаан
ахсааҥҥа,ахсаан
аҕабыт,аҕа
аҕалаах,аҕа
аҕалаахтарга,аҕа
аҕалар,аҕа
аҕалара,аҕа
аҕаларбыт,аҕа
аҕаларбытын,аҕа
аҕаларга,аҕа
аҕалардаах,аҕа
аҕалардаахxа,аҕа
аҕалартан,аҕа
аҕалары,аҕа
аҕаларым,аҕа
аҕаларын,аҕа
аҕам,аҕа
аҕаны,аҕа
аҕата,аҕа
аҕаттан,аҕа
аҕатын,аҕа
аҕаҕа,аҕа
баайа,баай
баайбыт,баай
баайга,баай
баайдаах,баай
баайдаахтарга,баай
баайдар,баай
баайдара,баай
баайдарбыт,баай
баайдарбытын,баай
баайдарга,баай
баайдардаах,баай
баайдардаахxа,баай
баайдартан,баай
баайдары,баай
баайдарым,баай
баайдарын,баай
баайтан,баай
баайы,баай
баайым,баай
баайын,баай
баартыйабыт,баартыйа
баартыйалаах,баартыйа
баартыйалаахтарга,баартыйа
баартыйалар,баартыйа
баартыйалара,баартыйа
баартыйаларбыт,баартыйа
баартыйаларбытын,баартыйа
баартыйаларга,баартыйа
баартыйалардаах,баартыйа
баартыйалардаахxа,баартыйа
баартыйалартан,баартыйа
баартыйалары,баартыйа
баартыйаларым,баартыйа
баартыйаларын,баартыйа
баартыйам,баартыйа
баартыйаны,баартыйа
баартыйата,баартыйа
баартыйаттан,баартыйа
баартыйатын,баартыйа
баартыйаҕа,баартыйа
барыбыт,бары
барыга,бары
барылаах,бары
барылаахтарга,бары
барылар,бары
барылара,бары
барыларбыт,бары
барыларбытын,бары
барыларга,бары
барылардаах,бары
барылардаахxа,бары
барылартан,бары
барылары,бары
барыларым,бары
барыларын,бары
барым,бары
барыны,бары
барыска,барыс
барыспыт,барыс
барыстаах,барыс
барыстаахтарга,барыс
барыстан,барыс
барыстар,барыс
