wordform,occurence
аадырыс,1
аадырыска,20
аадырыспын,1
аадырыспыт,2
аадырыстаан,1
аадырыстаах,2
аадырыстаммыт,1
аадырыстанан,1
аадырыстара,1
аадырыстарга,2
аадырыстарыгар,1
аадырыһа,18
аадырыһыгар,8
аадырыһым,1
аадырыһын,1
аадырыһынан,1
аадырыһыттан,1
аазимут,3
аай,3
аайа,3
аайар,1
аайарга,1
аайбын,1
аайы,465
аайыстыбалаах,1
аайыстыбалара,1
аайыстыбата,3
аайыстыбатыгар,1
аайыстыбатын,2
аайыттан,3
аак,1
аакка,43
ааккар,10
ааккын,5
ааккынан,2
ааккытын,5
ааксыйалар,1
ааксыйалары,1
аакта,3
аактабай,6
аакталаах,1
аакталар,1
аакталара,1
аакталары,2
аакталарын,2
аактаны,1
аактар,1
аактата,3
аактатыгар,2
аактатын,10
аактатынан,1
аакын,1
аал,82
аала,9
аалай,1
аалайа,1
аалбытынан,4
аалга,1
ааллаан,3
ааллаах,11
ааллар,13
ааллара,3
аалларан,2
ааллардаххытын,2
ааллары,5
аалларын,7
аалласпыттара,4
ааллаһан,1
ааллаһара,4
аалсыспыт,4
аалсыстахтарына,1
аалсыы,1
аалы,4
аалык,4
аалыллан,1
аалын,5
аалынан,11
аалыыта,2
аалыытын,8
аам,9
ааммын,2
ааммыт,2
аан,1453
аана,25
аанаан,1
аанай,4
аанайбын,1
аангллыы,1
аангылыйа,2
ааннаах,5
ааннар,2
ааннара,1
ааннарга,1
ааннары,3
ааннарын,2
аанны,2
аанныыллара,1
аанньа,43
аанньаах,2
аанньал,14
аанньала,1
аанньалларбыт,1
аанньалы,2
аанньанан,4
аанньах,1
аантан,3
аанчыкка,1
ааны,13
ааныгар,12
аанын,39
аанынан,11
ааныс,2
ааныстыырап,4
ааныттан,7
ааньньанан,1
ааппар,1
ааппын,9
ааппыттан,5
ааппытын,5
ааптар,66
ааптара,59
ааптарадара,1
ааптарга,1
ааптардар,16
ааптардара,16
ааптардартан,1
ааптардары,2
ааптардарыгар,1
ааптардарын,5
ааптардарынан,6
ааптардарыттан,3
ааптарскай,1
ааптарынан,7
ааптарыскай,6
аар,64
аара,22
аараан,16
аарааччылар,1
аарааччыта,1
аараллар,2
ааран,1
аараны,1
аарар,13
аарарга,2
аараттан,1
аарах,1
аарахтаа,1
аарахтаах,1
аарбатахтар,2
аарбыт,3
аарбыта,1
аарбытыгар,1
аарга,4
ааргым,1
аарда,1
аардар,1
аардарга,1
аардарыгар,2
аардарын,2
аардыбыт,1
аарка,2
аармия,1
аармияттан,1
аармыйа,19
аармыйаларыгар,1
аармыйаны,5
аармыйата,5
аармыйаттан,2
аармыйатыгар,2
аармыйатын,6
